Mês;Dia_semana;Dia_mês;Aluno_almoço;Bolsista_almoço;Pós_Doc_almoço;Aluno_Externo_almoço;Func_almoço;Visitante_almoço;Comunidade_almoço;Total_almoço;Aluno_jantar;Bolsista_jantar;Pós_Doc_jantar;Aluno_Externo_jantar;Func_jantar;Visitante_jantar;Comunidade_jantar;Total_jantar;Total_dia
7;qua;10;62;28;3;9;3;0;0;105;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;105
7;qui;11;67;39;9;7;5;1;0;128;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;128
7;sex;12;63;30;10;0;3;0;0;106;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;106
7;sáb;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;dom;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;seg;15;52;31;4;7;1;1;0;96;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;96
7;ter;16;65;33;6;10;1;1;0;116;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;116
7;qua;17;66;32;7;9;1;1;0;116;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;116
7;qui;18;66;29;10;10;1;0;0;116;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;116
7;sex;19;49;21;3;9;1;1;0;84;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;84
7;sáb;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;dom;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;seg;22;57;24;6;6;1;1;0;95;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;95
7;ter;23;60;31;7;8;1;1;0;108;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;108
7;qua;24;52;33;7;6;1;0;0;99;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;99
7;qui;25;53;33;7;7;0;1;0;101;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;101
7;sex;26;41;24;7;5;1;1;0;79;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;79
7;sáb;27;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
7;dom;28;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;0
