Ano,Mês,Dia_semana,Dia_mês,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Funcionario,Visitante,Comunidade,Total,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,5,sex,19,337.0,77.0,2.0,3.0,2.0,0.0,0.0,421.0,almoco,bife acebolado,omelete com brócolis,legumes refogados,barra de cereais,mamão,0.0,23.099999999999998,21.400000000000002,48.666666666666664,1.2,4.7,1
2023,5,seg,22,535.0,160.0,3.0,3.0,3.0,0.0,0.0,704.0,almoco,linguiça acebolada,grão de bico à indiana,virado de vagem,mini bolo de baunilha com recheio de chocolate,melancia,0.0,23.433333333333334,21.666666666666668,40.333333333333336,3.033333333333333,6.766666666666667,1
2023,5,ter,23,559.0,139.0,2.0,46.0,2.0,0.0,0.0,748.0,almoco,carne moída,ovo cozido,batata rústica,mousse de morango,abacaxi,0.0,23.2,21.8,46.0,2.566666666666667,5.933333333333334,1
2023,5,qua,24,604.0,144.0,0.0,1.0,0.0,0.0,0.0,749.0,almoco,pernil ao molho barbecue,pvt com cogumelo e shimeji,couve refogada,barra de cereais,maçã,0.0,22.633333333333336,20.966666666666665,56.0,4.0,9.200000000000001,1
2023,5,qui,25,488.0,116.0,2.0,41.0,1.0,0.0,0.0,648.0,almoco,bife ao molho de cogumelo,estrogonofe de grão de bico,repolho com ervas,iogurte,melão,0.0,23.3,21.166666666666668,57.333333333333336,3.1999999999999997,8.166666666666666,1
2023,5,qui,25,488.0,116.0,2.0,41.0,1.0,0.0,0.0,648.0,almoco,bife ao molho de cogumelo,estrogonofe de grão de bico,repolho com ervas,iogurte,melão,0.0,23.3,21.166666666666668,57.333333333333336,3.1999999999999997,8.166666666666666,1
2023,5,sex,26,377.0,85.0,3.0,1.0,1.0,0.0,0.0,467.0,almoco,frango xadrez,curry de legumes,cenoura ao alho,gelatina de framboesa,mamão,0.0,24.233333333333334,22.366666666666664,50.333333333333336,3.1333333333333333,7.566666666666667,1
2023,5,seg,29,461.0,152.0,2.0,4.0,2.0,0.0,0.0,621.0,almoco,filé de frango empanado,ovo cozido,creme de milho,picolé de limão,mexerica,0.0,20.96666666666667,19.466666666666665,67.66666666666667,3.0,6.866666666666667,1
2023,5,ter,30,508.0,135.0,2.0,3.0,1.0,0.0,0.0,649.0,almoco,hamburguer ao molho pizzaiolo,hamburguer de feijão branco à pizzaiolo,purê de batatas,flan de baunilha com calda,banana,0.0,19.733333333333334,18.766666666666666,69.66666666666667,3.5666666666666664,8.8,1
2023,5,qua,31,500.0,111.0,1.0,3.0,1.0,0.0,0.0,616.0,almoco,carne em cubos ao molho ferrugem,almôndega de pvt ao molho ferrugem,polenta cremosa,bolinho de baunilha com recheio de morango,melancia,0.06666666666666667,17.46666666666667,16.466666666666665,95.0,0.5333333333333333,2.9,1
2023,6,qui,1,523.0,145.0,2.0,1.0,1.0,0.0,0.0,672.0,almoco,bisteca ao molho de cebola,pvt alemão,farofa,brigadeirão,abacaxi,0.0,18.933333333333334,17.3,77.33333333333333,1.8,5.066666666666666,1
2023,6,sex,2,318.0,77.0,1.0,3.0,1.0,0.0,0.0,400.0,almoco,frango assado,almôndegas de ricota e espinafre,macarrão à primavera,pé de moça,laranja,0.0,22.666666666666668,21.366666666666664,58.0,1.9333333333333333,5.0,1
2023,6,qua,7,358.0,107.0,2.0,3.0,1.0,0.0,0.0,471.0,almoco,filé de frango empanado,estrogonofe de grão de bico,legumes refogados,pudim de pão,melancia,0.0,22.366666666666664,20.633333333333333,51.333333333333336,2.1333333333333333,6.533333333333334,1
2023,6,seg,12,410.0,139.0,4.0,4.0,3.0,0.0,0.0,560.0,almoco,frango empanado,bifinho de grão de bico,creme de milho,bananada,maçã,0.0,26.099999999999998,24.7,41.666666666666664,2.4333333333333336,6.266666666666667,1
2023,6,ter,13,502.0,130.0,3.0,3.0,2.0,0.0,0.0,640.0,almoco,carne louca (lagarto desfiado),curry de legumes,batata rústica,arroz doce moreno,banana,0.0,20.533333333333335,19.400000000000002,71.33333333333333,2.0333333333333337,6.733333333333333,1
2023,6,qua,14,484.0,141.0,3.0,4.0,1.0,0.0,0.0,633.0,almoco,iscas de carne ao molho madeira,pvt alemão,macarrão ao sugo,barra de cereais,laranja,2.6,16.133333333333333,15.733333333333334,94.33333333333333,1.6666666666666667,4.7,1
2023,6,qui,15,442.0,109.0,2.0,2.0,2.0,0.0,0.0,557.0,almoco,pernil ao molho barbecue,ovo frito,couve refogada,manjar de coco com calda de ameixa,melancia,4.666666666666667,16.433333333333334,15.966666666666667,96.0,0.8666666666666666,3.866666666666667,1
2023,6,sex,16,270.0,98.0,1.0,1.0,2.0,0.0,0.0,372.0,almoco,peixe ao molho de queijos,grãos com queijo branco,brócolis ao alho,sorvete de creme,tangerina,0.0,11.799999999999999,10.666666666666666,97.0,1.0666666666666667,4.333333333333333,1
2023,6,seg,19,479.0,149.0,5.0,7.0,3.0,0.0,0.0,643.0,almoco,linguiça acebolada,pvt com azeitonas,purê de batatas,iogurte,melão,0.0,21.166666666666668,19.233333333333334,49.0,2.8666666666666667,6.400000000000001,1
2023,6,ter,20,497.0,139.0,5.0,2.0,2.0,0.0,0.0,645.0,almoco,carne de panela ao tomatelli,almôndega de feijão branco ao tomatelli,macarrão ao alho e óleo,gelatina de cereja,maçã,0.0,21.900000000000002,20.266666666666666,49.0,2.6,7.066666666666666,1
2023,6,qua,21,540.0,144.0,6.0,2.0,0.0,0.0,0.0,692.0,almoco,frango assado,ovo frito,polenta ao sugo,torrone,banana,0.0,22.666666666666668,21.066666666666666,45.333333333333336,1.8333333333333333,5.833333333333333,1
2023,6,qui,22,400.0,99.0,5.0,2.0,2.0,0.0,0.0,508.0,almoco,quibe de assadeira recheado,quibe de pvt recheado,vagem ao alho,curau,mamão,0.0,22.2,20.400000000000002,48.666666666666664,2.766666666666667,6.833333333333333,1
2023,6,sex,23,337.0,96.0,5.0,2.0,2.0,0.0,0.0,442.0,almoco,filé de frango à pizzaiolo,grão de bico à indiana,legumes refogados,brigadeirão,melancia,0.0,22.7,20.733333333333334,47.333333333333336,2.0,6.0,1
2023,6,seg,26,360.0,107.0,3.0,0.0,2.0,0.0,0.0,472.0,almoco,carne moída com azeitonas,pvt com azeitonas,ervilha à parmentier,maxi goiabinha,maçã,0.0,23.3,21.7,48.333333333333336,2.5666666666666664,6.6000000000000005,1
2023,6,seg,26,360.0,107.0,3.0,0.0,2.0,0.0,0.0,472.0,almoco,hamburguer à pizzaiolo,grãos gratinados,legumes ao alho,chocolate ao leite,abacaxi,0.0,23.3,21.7,48.333333333333336,2.5666666666666664,6.6000000000000005,1
2023,6,ter,27,445.0,109.0,4.0,3.0,2.0,0.0,0.0,563.0,almoco,hamburguer à pizzaiolo,grãos gratinados,legumes ao alho,chocolate ao leite,abacaxi,0.0,24.366666666666664,22.733333333333334,43.0,2.6999999999999997,6.566666666666666,1
2023,6,qua,28,442.0,121.0,3.0,1.0,2.0,0.0,0.0,569.0,almoco,filé de frango ao molho rosê,lasanha de queijo,cenoura à salsa,gelatina de framboesa,tangerina,0.0,24.733333333333334,23.099999999999998,44.333333333333336,2.4,7.033333333333334,1
2023,6,qui,29,358.0,85.0,4.0,8.0,4.0,0.0,0.0,459.0,almoco,bife ao molho de cebola,ovo cozido,nhoque ao sugo,kit junino,banana,0.0,23.866666666666664,22.46666666666667,45.333333333333336,2.1333333333333333,5.400000000000001,1
2023,6,qui,29,358.0,85.0,4.0,8.0,4.0,0.0,0.0,459.0,almoco,bife ao molho de cebola,ovo cozido,nhoque ao sugo,kit junino,banana,0.0,23.866666666666664,22.46666666666667,45.333333333333336,2.1333333333333333,5.400000000000001,1
2023,6,sex,30,275.0,85.0,3.0,9.0,0.0,0.0,0.0,372.0,almoco,pernil ao molho barbecue,bife de pvt ao molho barbecue,farofa,mousse de limão,melancia,0.0,22.566666666666666,20.933333333333334,51.0,2.733333333333333,7.166666666666667,1
2023,7,seg,3,339.0,109.0,5.0,3.0,5.0,0.0,0.0,461.0,almoco,bife ao molho madeira,suflê de legumes,batata doce temperada,goiabada,maçã,0.0,21.099999999999998,19.3,45.666666666666664,2.733333333333333,7.033333333333334,1
2023,7,ter,4,267.0,92.0,6.0,2.0,2.0,0.0,0.0,369.0,almoco,tiras de frango ao molho rosê,grão de bico à indiana,batata palha,canjica quente,mamão,0.0,20.366666666666664,18.566666666666666,50.666666666666664,2.8333333333333335,6.7,1
2023,7,qua,5,341.0,104.0,5.0,1.0,2.0,0.0,0.0,453.0,almoco,feijoada,feijoada vegetariana,couve refogada,gelatina de cereja,tangerina,0.0,22.099999999999998,20.099999999999998,41.666666666666664,1.9000000000000001,6.033333333333334,1
2023,7,qui,6,321.0,99.0,5.0,1.0,1.0,0.0,0.0,427.0,almoco,carne moída,ovo frito,macarrão à primavera,chocolate,melancia,0.0,21.2,19.599999999999998,44.0,2.3666666666666667,7.066666666666666,1
2023,7,sex,7,196.0,65.0,5.0,1.0,1.0,0.0,0.0,268.0,almoco,isca ao molho de cogumelos,quibe de brócolis e requeijão,legumes refogados,barra de cereais,banana,0.0,22.133333333333336,20.266666666666666,41.0,2.3666666666666667,6.966666666666666,1
2023,7,seg,10,205.0,70.0,6.0,2.0,0.0,0.0,0.0,283.0,almoco,fricassé de frango,bifinho de lentilha ao sugo,batata palha,maxi goiabinha,laranja,0.0,25.633333333333336,23.7,46.333333333333336,2.1,5.3,1
2023,7,ter,11,232.0,60.0,2.0,1.0,1.0,0.0,0.0,296.0,almoco,lombo ao molho roty,ovo cozido,farofa,pudim de maria mole com coco,banana,0.0,27.766666666666666,26.133333333333336,33.666666666666664,1.8333333333333333,4.6,1
2023,7,ter,11,232.0,60.0,2.0,1.0,1.0,0.0,0.0,296.0,almoco,lombo ao molho roty,ovo cozido,farofa,pudim de maria mole com coco,banana,0.0,27.766666666666666,26.133333333333336,33.666666666666664,1.8333333333333333,4.6,1
2023,7,qua,12,275.0,87.0,4.0,3.0,3.0,0.0,0.0,372.0,almoco,estrogonofe de carne,estrogonofe de grão de bico,batata corada,mini bolo de brigadeiro,maçã,0.0,26.166666666666668,24.53333333333333,37.333333333333336,2.466666666666667,6.733333333333333,1
2023,7,qui,13,183.0,68.0,5.0,3.0,2.0,0.0,0.0,261.0,almoco,lasanha à bolonhesa,lasanha de pvt,cenoura sauté,gelatina de morango,mamão,0.0,24.133333333333336,22.933333333333334,55.666666666666664,3.366666666666667,10.799999999999999,1
2023,7,sex,14,132.0,38.0,4.0,0.0,2.0,0.0,0.0,176.0,almoco,filé de frango empanado,curry de legumes,acelga à chinesa,bombom,abacaxi,0.0,16.900000000000002,14.733333333333334,39.666666666666664,0.39999999999999997,4.866666666666666,1
2023,7,seg,17,70.0,20.0,3.0,7.0,2.0,0.0,0.0,102.0,almoco,bife grelhado ao molho de cebola,almôndega de aveia e espinafre,mandioca ensopada,torrone,maçã,0.0,25.766666666666666,24.133333333333336,46.333333333333336,0.9666666666666667,5.1000000000000005,0
