Ano,Mês,Dia_semana,Dia_mês,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,sobremesa_2,Aluno,Bolsista,Pos_Doc,Aluno_Externo,Comunidade,Visitantes,Funcionario,Total,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_horaria (m/s),Vento_rajada_maxima (m/s),dia letivo
2023,2,seg,6,jantar,pernil ao molho barbecue,ovo frito,virado de vagem,picolé de limão,mexerica,480.0,219.0,0.0,6.0,0.0,0.0,0.0,705.0,0.0,26.3,24.766666666666666,67.66666666666667,0.3666666666666667,4.2,0
2023,2,ter,7,cafe da manha,,,,,,,,,,,,,49.0,0.0,21.65,19.549999999999997,90.0,0.0,0.0,0
2023,2,ter,7,almoco,filé de frango empanado,almôndega de feijão branco,creme de milho,gelatina de cereja,melão,730.0,270.0,2.0,28.0,0.0,0.0,1.0,1031.0,0.0,26.53333333333333,25.066666666666666,67.33333333333333,1.6333333333333335,5.433333333333334,0
2023,2,ter,7,jantar,lasanha à bolonhesa,lasanha de pvt,acelga à chinesa,maxi goiabinha,banana,534.0,234.0,2.0,14.0,0.0,0.0,0.0,784.0,1.0666666666666667,22.766666666666666,20.866666666666664,90.33333333333333,0.3333333333333333,4.366666666666667,0
2023,2,qua,8,cafe da manha,,,,,,,,,,,,,47.0,0.0,22.450000000000003,19.95,82.5,0.0,0.0,0
2023,2,qua,8,almoco,lombo assado ao molho de limão,cassoulet vegetariano,farofa rica,brigadeirão,abacaxi,681.0,246.0,3.0,20.0,0.0,0.0,1.0,951.0,0.0,28.099999999999998,26.5,59.0,1.7,4.833333333333333,0
2023,2,qua,8,jantar,bife ao molho de azeitonas,pvt com azeitonas,batata doce com ervas,arroz doce,mamão,410.0,201.0,0.0,7.0,0.0,0.0,0.0,618.0,0.0,29.46666666666667,26.666666666666668,60.0,0.9,6.0,0
2023,2,qui,9,cafe da manha,,,,,,,,,,,,,58.0,0.0,21.6,19.5,84.0,0.9,3.3000000000000003,0
2023,2,qui,9,almoco,carne em cubos ao molho roty,quibe de brócolis com requeijão,ervilha à parmentier,manjar de coco com calda de ameixa,banana,650.0,251.0,3.0,17.0,0.0,0.0,0.0,921.0,0.0,27.833333333333332,26.133333333333336,58.0,1.2666666666666666,5.433333333333334,0
2023,2,qui,9,jantar,frango assado,curry de legumes,chuchu com azeitonas,mini bolo de chocolate,melancia,427.0,215.0,0.0,13.0,0.0,0.0,0.0,655.0,0.0,29.599999999999998,28.066666666666666,54.666666666666664,0.2333333333333333,3.6666666666666665,0
2023,2,sex,10,cafe da manha,,,,,,,,,,,,,52.0,0.0,20.9,19.549999999999997,86.0,0.0,1.55,0
2023,2,sex,10,almoco,bife ao molho ferrugem,omelete de espinafre,legumes refogados,goiabada,mamão,583.0,238.0,1.0,23.0,0.0,0.0,1.0,846.0,0.0,26.633333333333336,24.5,63.333333333333336,1.4666666666666668,4.866666666666667,0
2023,2,sex,10,jantar,hamburguer ao tomatelli,hamburguer de lentilha ao tomatelli,macarrão ao molho de queijos,pudim de maria mole,abacaxi,385.0,203.0,0.0,7.0,0.0,0.0,0.0,595.0,0.0,27.366666666666664,25.2,67.0,0.5333333333333333,4.5,0
2023,2,sáb,11,almoco,estrogonofe de frango,estrogonofe de pvt,batata palha,cocada,laranja,357.0,169.0,0.0,6.0,0.0,0.0,2.0,534.0,0.4000000000000001,22.0,20.766666666666666,88.0,1.0666666666666667,4.3,0
2023,2,seg,13,cafe da manha,,,,,,,,,,,,,42.0,0.1,19.450000000000003,18.95,95.0,0.8,3.9,0
2023,2,seg,13,almoco,linguiça acebolada,grão de bico à indiana,farofa,mini bolo,laranja,621.0,260.0,2.0,8.0,54.0,0.0,1.0,946.0,0.0,26.633333333333336,24.733333333333334,66.0,2.066666666666667,4.8,0
2023,2,seg,13,jantar,bife ao molho roty,tomate recheado,batata rústica,torrone,melão,498.0,250.0,1.0,3.0,52.0,0.0,0.0,804.0,0.0,28.0,25.866666666666664,57.0,1.0666666666666667,5.266666666666667,0
2023,2,ter,14,cafe da manha,,,,,,,,,,,,,60.0,0.0,21.35,20.35,93.5,0.25,1.85,0
2023,2,ter,14,almoco,lasanha à bolonhesa,lasanha de pvt,brócolis ao alho,mousse de chocolate,abacaxi,712.0,307.0,4.0,6.0,52.0,0.0,1.0,1082.0,0.0,28.066666666666666,26.099999999999998,62.666666666666664,1.9666666666666668,6.1000000000000005,0
2023,2,ter,14,jantar,filé de frango ao molho ferrugem,pvt mexicano,purê de mandioquinha,doce de leite,mamão,475.0,246.0,0.0,6.0,49.0,0.0,0.0,776.0,0.0,28.03333333333333,26.53333333333333,59.333333333333336,0.7333333333333334,5.800000000000001,0
2023,2,qua,15,cafe da manha,,,,,,,,,,,,,49.0,0.0,22.4,21.55,82.5,0.65,3.4000000000000004,0
2023,2,qua,15,almoco,pernil ao molho barbecue,pvt com cogumelo e shimeji,couve refogada,sorvete de abacaxi,banana,681.0,269.0,2.0,8.0,51.0,0.0,1.0,1012.0,0.0,29.5,27.833333333333332,56.666666666666664,2.1666666666666665,7.366666666666667,0
2023,2,qua,15,jantar,carne louca,bife de lentilha,polenta,bananada,laranja,405.0,189.0,0.0,4.0,50.0,0.0,0.0,648.0,2.4,25.333333333333332,22.400000000000002,83.33333333333333,1.0,8.1,0
2023,2,qui,16,cafe da manha,,,,,,,,,,,,,50.0,0.0,19.8,18.8,89.5,1.85,4.1,0
2023,2,qui,16,almoco,bife ao molho de cogumelos,rondele de queijos,repolho com ervas,sagu,melancia,676.0,261.0,3.0,7.0,52.0,0.0,1.0,1000.0,0.0,25.400000000000002,23.933333333333334,74.66666666666667,2.033333333333333,7.1000000000000005,0
2023,2,qui,16,jantar,frango assado,pvt com azeitonas,macarrão a primavera,barra de cereais,banana,361.0,216.0,1.0,3.0,47.0,0.0,0.0,628.0,2.066666666666667,26.366666666666664,23.666666666666668,77.33333333333333,0.9666666666666667,6.533333333333334,0
2023,2,sex,17,cafe da manha,,,,,,,,,,,,,39.0,0.0,20.8,19.85,88.5,2.0,5.75,0
2023,2,sex,17,almoco,frango xadrez,almôndega de feijão branco,legumes ao alho,gelatina de morango,mamão,550.0,196.0,3.0,6.0,49.0,0.0,1.0,805.0,0.0,27.03333333333333,25.46666666666667,65.0,3.8000000000000003,9.466666666666667,0
