Ano,Mês,Dia_semana,Dia_mês,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,9,qua,27,601.0,Frango assado,Cassoulet,Chuchu,Gelatina,1,0,0,0,0,0,0,0,51,85,15
2023,9,qui,28,532.0,Hamburguer,Hamburguer de grão de bico,Macarrão,Bolinho,1,0,0,0,0,0,0,0,52,84,14
2023,9,sex,29,294.0,Lombo,Ovo cozido,Farofa,Mousse de limão,1,0,0,0,0,0,0,0,53,83,13
2023,9,sáb,30,0.0,Estrogonofe de frango,Curry de legumes,Batata palha,Pudim de maria mole,1,0,0,1,0,0,0,0,54,82,12
2023,10,seg,2,479.0,Bife,Lasanha de queijo,Cenoura,Torrone,1,0,0,0,1,0,0,0,56,80,10
2023,10,ter,3,602.0,Carne moída,PVT,Nhoque,Arroz doce,1,0,0,0,0,0,0,0,57,79,9
2023,10,qua,4,642.0,Frango empanado,Ovo cozido,Creme de milho,Bombom,1,0,0,0,0,0,0,0,58,78,8
2023,10,qui,5,496.0,Filé de peixe,Grãos com queijo,Brócolis,Barra de cereais,1,0,0,0,0,0,0,0,59,77,7
2023,10,sex,6,218.0,Linguiça,PVT,Virado,Picolé,1,0,0,0,0,0,0,0,60,76,6
2023,10,sáb,7,0.0,Estrogonofe de carne,Estrogonofe de legumes,Batata palha,Mousse de morango,1,0,0,1,0,0,0,0,61,75,5
2023,10,seg,9,416.0,Carne em cubos,Quibe de brócolis,Vagem,Barra de cereais,1,0,0,0,1,0,0,0,63,73,3
2023,10,ter,10,581.0,Lombo,Ovo cozido,Farofa,Gelatina,1,0,0,0,0,0,0,0,64,72,2
2023,10,seg,16,439.0,Frango empanado,Moussaka,Legumes,Bolinho,1,0,0,0,1,0,0,0,70,66,12
2023,10,ter,17,665.0,Lasanha bolonhesa,Lasanha de PVT,Acelga,Mousse de limão,1,0,0,0,0,0,0,0,71,65,11
2023,10,qua,18,552.0,Frango assado,Cassoulet,Polenta,Flan de baunilha,1,0,0,0,0,0,0,0,72,64,10
2023,10,qui,19,576.0,Lagarto,Ovo frito,Farofa,Sorvete,1,0,0,0,0,0,0,0,73,63,9
2023,10,sex,20,257.0,Bisteca,Grão de bico,Couve,Barra de cereais,1,0,0,0,0,0,0,0,74,62,8
2023,10,sáb,21,0.0,Bife,Quibe de PVT,Batata,Pudim de maria mole,1,0,0,1,0,0,0,0,75,61,7
2023,10,seg,23,483.0,Bife,Tomate recheado,Abobrinha,Chocolate,1,0,0,0,1,0,0,0,77,59,5
2023,10,ter,24,662.0,Hamburguer,Hamburguer de lentilha,Macarrão,Bolinho,1,0,0,0,0,0,0,0,78,58,4
2023,10,qua,25,512.0,Lombo,Grão de bico,Farofa,Goiabada,1,0,0,0,0,0,0,0,79,57,3
2023,10,qui,26,610.0,Carne moída,PVT,Ervilha parmentier,Manjar,1,0,0,0,0,0,0,0,80,56,2
2023,10,sex,27,368.0,Filé de frango,Omelete,Legumes,Brigadeirão,1,0,0,1,0,1,0,0,81,55,1
2023,10,seg,30,416.0,Bife,Bobó de abóbora,Legumes,Iogurte,1,0,0,0,1,0,0,0,84,52,3
2023,10,ter,31,484.0,Pernil,Curry de legumes,Cenoura,Gelatina,1,0,0,0,0,0,0,0,85,51,2
2023,11,qua,1,434.0,Filé de frango,Grão de bico,Purês,Sorvete,1,0,0,1,0,1,0,0,86,50,1
2023,11,seg,6,299.0,Frango empanado,Omelete,Repolho com cenoura,Bolinho,1,0,0,0,1,0,0,0,91,45,9
2023,11,ter,7,533.0,Bife,Tomate recheado,Chuchu,Arroz doce,1,0,0,0,0,0,0,0,92,44,8
2023,11,qua,8,466.0,Lombo,PVT,Mandioca,Pé de moça,1,0,0,0,0,0,0,0,93,43,7
2023,11,qui,9,502.0,Carne em cubos,Almôndega de aveia,Macarrão,Manjar,1,0,0,0,0,0,0,0,94,42,6
2023,11,sex,10,263.0,Filé de peixe,Grãos com queijo,Batata,Barra de cereais,1,0,0,0,0,0,0,0,95,41,5
2023,11,sáb,11,0.0,Pernil,Suflê de legumes,Couve,Brigadeirão,1,0,0,1,0,0,0,0,96,40,4
2023,11,seg,13,340.0,Linguiça,Cassoulet,Virado,Bananada,1,0,0,0,1,0,0,0,98,38,2
2023,11,ter,14,490.0,Lasanha bolonhesa,Lasanha de PVT,Abobrinha,Mosaico,1,0,0,1,0,1,0,0,99,37,1
2023,11,qui,16,336.0,Frango empanado,Ovo frito,Acelga,Torrone,1,0,0,0,1,0,1,0,101,35,130
2023,11,sex,17,143.0,Bife,Moussaka,Polenta,Picolé,1,0,0,0,0,0,0,0,102,34,129
2023,11,sáb,18,0.0,Fricassê de frango,PVT,Batata palha,Pudim de maria mole,1,0,0,1,0,0,0,0,103,33,128
2023,11,ter,21,484.0,Bife,Omelete,Batata,Doce de leite,1,0,0,0,0,0,0,0,106,30,125
2023,11,qua,22,572.0,Frango assado,Quibe de brócolis,Abobrinha,Gelatina,1,0,0,0,0,0,0,0,107,29,124
2023,11,qui,23,563.0,Hamburguer,Hamburguer de PVT,Macarrão,Bombom,1,0,0,0,0,0,0,0,108,28,123
2023,11,sex,24,187.0,Bisteca,Curry de legumes,Farofa,Arroz doce,1,0,0,0,0,0,0,0,109,27,122
2023,11,sáb,25,0.0,Estrogonofe de carne,Estrogonofe de grão de bico,Legumes,Bolinho,1,0,0,1,0,0,0,0,110,26,121
2023,11,seg,27,449.0,Bife,Grão de bico,Chuchu,Cocada,1,0,0,0,1,0,0,0,112,24,119
