Ano,Mês,Dia_semana,Dia_mês,refeicao,total,prato_principal_1,prato_principal_2,guarnição,sobremesa_1,Precipitacao_mm,Temp_max_C,Temp_min_C,Umid_rel_ar,Vento_velocidade_ms,Vento_rajada_maxima_ms,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,2,sex,24,almoco,877.0,Bife,Omelete,Macarrão,Delicia de abacaxi,0.0,24.933333333333334,23.133333333333336,70.0,1.6666666666666667,5.7,0,0,1,1,1,0,0,54,0,0,38
2023,2,sex,24,jantar,646.0,Lombo,Lasanha de berinjela,Couve,Gelatina,0.0,26.833333333333332,25.233333333333334,67.33333333333333,0.6666666666666666,3.9,0,0,1,1,1,0,0,54,0,0,38
2023,2,sáb,25,almoco,574.0,Frango assado,Grãos com queijo,Legumes,Mousse de maracujá,0.0,27.900000000000002,26.333333333333332,65.33333333333333,2.4,7.333333333333333,0,0,1,1,1,0,0,55,0,0,37
2023,2,seg,27,almoco,934.0,Frango empanado,Ovo cozido,Creme de milho,Barra de cereais,0.0,29.566666666666666,26.5,59.333333333333336,1.2333333333333334,6.033333333333334,0,0,1,1,1,0,0,57,0,0,35
2023,2,seg,27,jantar,880.0,Bife,Quibe de brócolis,Abobrinha,Torrone,0.0,27.0,26.03333333333333,71.33333333333333,0.6,3.3333333333333335,0,0,1,1,1,0,0,57,0,0,35
2023,2,ter,28,almoco,1108.0,Carne em cubos,PVT,Macarrão,Iogurte,0.0,28.233333333333334,26.53333333333333,60.0,2.433333333333333,6.533333333333334,0,0,1,1,1,0,0,58,0,0,34
2023,2,ter,28,jantar,1022.0,Linguiça,Almôndega de aveia,Farofa,Bombom,0.13333333333333333,23.133333333333336,21.400000000000002,76.33333333333333,2.6666666666666665,10.166666666666666,0,0,1,1,1,0,0,58,0,0,34
2023,3,qua,1,almoco,1115.0,Bife,Bife de lentilha,Legumes,Picolé,0.0,24.666666666666668,22.7,71.33333333333333,0.7000000000000001,3.733333333333333,0,0,1,1,1,0,0,59,0,0,33
2023,3,qua,1,jantar,998.0,Peixe frito,Grãos com queijo,Brócolis,Maria mole,0.0,28.733333333333334,27.0,50.0,0.19999999999999998,4.333333333333333,0,0,1,1,1,0,0,59,0,0,33
2023,3,qui,2,almoco,1089.0,Lombo,Curry de legumes,Polenta,Brigadeirão,0.0,28.53333333333333,27.0,47.666666666666664,1.7,6.133333333333333,0,0,1,1,1,0,0,60,0,0,32
2023,3,qui,2,jantar,862.0,Filé de frango,Moussaka,Chuchu,Cocada,6.666666666666667,26.566666666666666,23.233333333333334,76.66666666666667,0.9666666666666667,4.8999999999999995,0,0,1,1,1,0,0,60,0,0,32
2023,3,sex,3,almoco,1119.0,Frango assado,Cassoulet,Purês,Goiabada,0.0,28.233333333333334,26.53333333333333,58.666666666666664,1.8333333333333333,6.533333333333334,0,0,1,1,1,0,0,61,0,0,31
2023,3,sex,3,jantar,824.0,Carne louca,Ovo frito,Cenoura,Pudim de baunilha,0.0,29.066666666666666,26.866666666666664,58.333333333333336,1.7666666666666666,4.8,0,0,1,1,1,0,0,61,0,0,31
2023,3,sáb,4,almoco,700.0,Isca de carne,PVT,Batata doce,Gelatina,0.0,27.566666666666666,25.633333333333336,64.66666666666667,1.5999999999999999,5.0,0,0,1,1,1,0,0,62,0,0,30
2023,3,seg,6,almoco,1358.0,Frango empanado,Fricassê de PVT,Legumes,Doce de leite,0.0,27.666666666666668,25.8,57.333333333333336,1.8,5.733333333333333,0,0,1,1,1,0,0,64,0,0,28
2023,3,seg,6,jantar,1152.0,Bife,Tomate recheado,Farofa,Pão de mel,0.0,21.599999999999998,20.066666666666666,81.33333333333333,1.7333333333333334,7.5,0,0,1,1,1,0,0,64,0,0,28
2023,3,ter,7,almoco,1503.0,Lasanha bolonhesa,Lasanha de PVT,Acelga,Bananada,0.0,26.900000000000002,24.7,59.333333333333336,2.533333333333333,6.366666666666667,0,0,1,1,1,0,0,65,0,0,27
2023,3,ter,7,jantar,1178.0,Pernil,Cassoulet,Mandioca,Gelatina,0.0,27.066666666666666,25.46666666666667,65.0,0.43333333333333335,4.633333333333334,0,0,1,1,1,0,0,65,0,0,27
2023,3,qua,8,almoco,1611.0,Estrogonofe de frango,Estrogonofe de PVT,Batata palha,Mousse de maracujá,0.0,27.5,25.599999999999998,56.666666666666664,2.3000000000000003,5.566666666666666,0,0,1,1,1,0,0,66,0,0,26
2023,3,qua,8,jantar,1248.0,Carne em cubos,PVT,Polenta,Sorvete,0.0,27.099999999999998,25.133333333333336,64.66666666666667,1.5666666666666667,5.166666666666667,0,0,1,1,1,0,0,66,0,0,26
2023,3,qui,9,almoco,1618.0,Hamburguer,Hamburguer de grão de bico,Macarrão,Bombom,0.0,27.233333333333334,25.133333333333336,64.66666666666667,1.3,5.3,0,0,1,1,1,0,0,67,0,0,25
2023,3,qui,9,jantar,1258.0,Filé de frango,Curry de legumes,Cenoura,Curau,0.0,26.933333333333334,24.46666666666667,64.0,0.06666666666666667,3.233333333333333,0,0,1,1,1,0,0,67,0,0,25
2023,3,sex,10,almoco,1451.0,Lombo,Ovo frito,Couve,Sagu,0.26666666666666666,24.96666666666667,23.03333333333333,74.33333333333333,1.3333333333333333,4.966666666666667,0,0,1,1,1,0,0,68,0,0,24
2023,3,sex,10,jantar,876.0,Isca de carne,Quibe de PVT,Ervilha parmentier,Iogurte,3.466666666666667,20.066666666666666,19.566666666666666,93.0,0.16666666666666666,3.5,0,0,1,1,1,0,0,68,0,0,24
2023,3,sáb,11,almoco,975.0,Lagarto,PVT,Virado,Pudim de coco,1.4666666666666668,20.966666666666665,20.2,92.66666666666667,0.7666666666666666,3.3000000000000003,0,0,1,1,1,0,0,69,0,0,23
2023,3,seg,13,almoco,2326.0,Bife,Quibe de brócolis,Repolho,Alfajor,0.0,26.133333333333336,24.833333333333332,71.33333333333333,1.8999999999999997,4.933333333333334,1,0,0,0,1,0,0,0,0,124,21
2023,3,seg,13,jantar,2014.0,Linguiça,PVT,Chuchu,Bolinho,0.0,26.333333333333332,24.133333333333336,72.0,0.9666666666666668,4.466666666666666,1,0,0,0,1,0,0,0,0,124,21
2023,3,ter,14,almoco,2671.0,Frango empanado,Bife de grão de bico,Creme de milho,Arroz doce,0.0,25.53333333333333,23.099999999999998,78.0,1.8333333333333333,6.2,1,0,0,0,0,0,0,0,1,123,20
2023,3,ter,14,jantar,2193.0,Isca de carne,Rondele,Abobrinha,Bombom,0.06666666666666667,22.333333333333332,21.600000000000005,87.33333333333333,0.43333333333333335,2.2666666666666666,1,0,0,0,0,0,0,0,1,123,20
2023,3,qua,15,almoco,2748.0,Carne em cubos,PVT,Batata,Barra de cereais,0.0,24.633333333333336,23.333333333333332,72.33333333333333,2.1333333333333333,5.533333333333334,1,0,0,0,0,0,0,0,2,122,19
2023,3,qua,15,jantar,1766.0,Frango assado,Almôndega de aveia,Polenta,Gelatina,0.0,24.7,23.866666666666664,73.66666666666667,0.5,3.233333333333334,1,0,0,0,0,0,0,0,2,122,19
2023,3,qui,16,almoco,2671.0,Pernil,Ovo frito,Virado,Manjar,0.0,27.266666666666666,25.566666666666666,60.333333333333336,2.8000000000000003,7.233333333333333,1,0,0,0,0,0,0,0,3,121,18
2023,3,qui,16,jantar,1932.0,Estrogonofe de carne,Estrogonofe de legumes,Batata palha,Torrone,0.0,27.5,26.0,59.333333333333336,0.9666666666666667,3.5666666666666664,1,0,0,0,0,0,0,0,3,121,18
2023,3,sex,17,almoco,2137.0,Filé de peixe,Grãos com queijo,Brócolis,Sorvete,0.0,26.099999999999998,24.366666666666664,61.333333333333336,1.8333333333333333,6.166666666666667,1,0,0,0,0,0,0,0,4,120,17
2023,3,sex,17,jantar,1577.0,Isca de frango,Ovo cozido,Legumes,Chocolate,0.0,25.599999999999998,24.46666666666667,65.0,0.43333333333333335,3.733333333333333,1,0,0,0,0,0,0,0,4,120,17
2023,3,sáb,18,almoco,1468.0,Bisteca,Lasanha de berinjela,Farofa,Delicia de banana,0.0,27.599999999999998,25.866666666666664,51.0,2.066666666666667,6.0,1,0,0,1,0,0,0,0,5,119,16
2023,3,seg,20,almoco,2558.0,Linguiça,PVT,Vagem,Iogurte,0.0,28.233333333333334,26.333333333333332,57.666666666666664,1.8333333333333333,5.066666666666666,1,0,0,0,1,0,0,0,7,117,14
2023,3,seg,20,jantar,2692.0,Frango empanado,Grãos gratinados,Chuchu,Bananada,0.0,26.333333333333332,24.333333333333332,62.666666666666664,0.5666666666666668,6.866666666666666,1,0,0,0,1,0,0,0,7,117,14
2023,3,ter,21,almoco,2674.0,Carne de panela,Almôndega de feijão,Purês,Gelatina,0.0,28.633333333333336,26.566666666666666,48.666666666666664,1.4333333333333333,4.3,1,0,0,0,0,0,0,0,8,116,13
2023,3,ter,21,jantar,2561.0,Lombo,Lasanha de PVT,Legumes,Bombom,0.0,28.03333333333333,26.433333333333334,59.333333333333336,0.6,3.733333333333333,1,0,0,0,0,0,0,0,8,116,13
2023,3,qua,22,almoco,2755.0,Frango assado,Ovo frito,Polenta,Barra de cereais,0.0,28.833333333333332,26.766666666666666,54.333333333333336,2.3333333333333335,7.2,1,0,0,0,0,0,0,0,9,115,12
