Ano,Mês,Dia_mês,Dia_semana,letivo,feriado,ferias,vespera_nao_letivo,pos_nao_letivo,vespera_feriado,pos_feriado,dias_desde_inicio_ferias,dias_desde_ultimas_ferias,dias_ate_ferias,dias_ate_feriado
2023,10,6,sex,1,0,0,0,0,0,0,0,60,76,6
2023,10,7,sáb,1,0,0,1,0,0,0,0,61,75,5
2023,10,8,dom,0,0,0,0,0,0,0,0,62,74,4
2023,10,9,seg,1,0,0,0,1,0,0,0,63,73,3
2023,10,10,ter,1,0,0,0,0,0,0,0,64,72,2
2023,10,11,qua,1,0,0,1,0,1,0,0,65,71,1
2023,10,12,qui,0,1,0,1,0,1,0,0,66,70,0
2023,10,13,sex,0,1,0,1,1,1,1,0,67,69,0
2023,10,14,sáb,0,1,0,1,1,0,1,0,68,68,0
2023,10,15,dom,0,0,0,0,1,0,1,0,69,67,13
2023,10,16,seg,1,0,0,0,1,0,0,0,70,66,12
2023,10,17,ter,1,0,0,0,0,0,0,0,71,65,11
2023,10,18,qua,1,0,0,0,0,0,0,0,72,64,10
2023,10,19,qui,1,0,0,0,0,0,0,0,73,63,9
2023,10,20,sex,1,0,0,0,0,0,0,0,74,62,8
2023,10,21,sáb,1,0,0,1,0,0,0,0,75,61,7
2023,10,22,dom,0,0,0,0,0,0,0,0,76,60,6
2023,10,23,seg,1,0,0,0,1,0,0,0,77,59,5
2023,10,24,ter,1,0,0,0,0,0,0,0,78,58,4
2023,10,25,qua,1,0,0,0,0,0,0,0,79,57,3
2023,10,26,qui,1,0,0,0,0,0,0,0,80,56,2
2023,10,27,sex,1,0,0,1,0,1,0,0,81,55,1
2023,10,28,sáb,0,1,0,1,0,0,0,0,82,54,0
2023,10,29,dom,0,0,0,0,1,0,1,0,83,53,4
2023,10,30,seg,1,0,0,0,1,0,0,0,84,52,3
2023,10,31,ter,1,0,0,0,0,0,0,0,85,51,2
2023,11,1,qua,1,0,0,1,0,1,0,0,86,50,1
2023,11,2,qui,0,1,0,1,0,1,0,0,87,49,0
2023,11,3,sex,0,1,0,1,1,1,1,0,88,48,0
2023,11,4,sáb,0,1,0,1,1,0,1,0,89,47,0
2023,11,5,dom,0,0,0,0,1,0,1,0,90,46,10
2023,11,6,seg,1,0,0,0,1,0,0,0,91,45,9
2023,11,7,ter,1,0,0,0,0,0,0,0,92,44,8
2023,11,8,qua,1,0,0,0,0,0,0,0,93,43,7
2023,11,9,qui,1,0,0,0,0,0,0,0,94,42,6
2023,11,10,sex,1,0,0,0,0,0,0,0,95,41,5
2023,11,11,sáb,1,0,0,1,0,0,0,0,96,40,4
2023,11,12,dom,0,0,0,0,0,0,0,0,97,39,3
2023,11,13,seg,1,0,0,0,1,0,0,0,98,38,2
2023,11,14,ter,1,0,0,1,0,1,0,0,99,37,1
2023,11,15,qua,0,1,0,0,0,0,0,0,100,36,0
2023,11,16,qui,1,0,0,0,1,0,1,0,101,35,130
2023,11,17,sex,1,0,0,0,0,0,0,0,102,34,129
2023,11,18,sáb,1,0,0,1,0,0,0,0,103,33,128
2023,11,19,dom,0,0,0,0,0,0,0,0,104,32,127
2023,11,20,seg,1,0,0,0,1,0,0,0,105,31,126
2023,11,21,ter,1,0,0,0,0,0,0,0,106,30,125
2023,11,22,qua,1,0,0,0,0,0,0,0,107,29,124
2023,11,23,qui,1,0,0,0,0,0,0,0,108,28,123
2023,11,24,sex,1,0,0,0,0,0,0,0,109,27,122
2023,11,25,sáb,1,0,0,1,0,0,0,0,110,26,121
2023,11,26,dom,0,0,0,0,0,0,0,0,111,25,120
2023,11,27,seg,1,0,0,0,1,0,0,0,112,24,119
2023,11,28,ter,1,0,0,0,0,0,0,0,113,23,118
2023,11,29,qua,1,0,0,0,0,0,0,0,114,22,117
2023,11,30,qui,1,0,0,0,0,0,0,0,115,21,116
2023,12,1,sex,1,0,0,0,0,0,0,0,116,20,115
2023,12,2,sáb,1,0,0,1,0,0,0,0,117,19,114
2023,12,3,dom,0,0,0,0,0,0,0,0,118,18,113
2023,12,4,seg,1,0,0,0,1,0,0,0,119,17,112
2023,12,5,ter,1,0,0,0,0,0,0,0,120,16,111
2023,12,6,qua,1,0,0,0,0,0,0,0,121,15,110
2023,12,7,qui,1,0,0,0,0,0,0,0,122,14,109
2023,12,8,sex,1,0,0,0,0,0,0,0,123,13,108
2023,12,9,sáb,1,0,0,1,0,0,0,0,124,12,107
2023,12,10,dom,0,0,0,0,0,0,0,0,125,11,106
2023,12,11,seg,1,0,0,0,1,0,0,0,126,10,105
2023,12,12,ter,1,0,0,0,0,0,0,0,127,9,104
2023,12,13,qua,1,0,0,0,0,0,0,0,128,8,103
2023,12,14,qui,1,0,0,0,0,0,0,0,129,7,102
2023,12,15,sex,1,0,0,0,0,0,0,0,130,6,101
2023,12,16,sáb,1,0,0,1,0,0,0,0,131,5,100
2023,12,17,dom,0,0,0,0,0,0,0,0,132,4,99
2023,12,18,seg,1,0,0,0,1,0,0,0,133,3,98
2023,12,19,ter,1,0,0,0,0,0,0,0,134,2,97
2023,12,20,qua,1,0,0,1,0,0,0,0,135,1,96
2023,12,21,qui,0,0,1,1,0,0,0,0,0,0,95
2023,12,22,sex,0,0,1,1,1,0,0,1,0,0,94
2023,12,23,sáb,0,0,1,1,1,0,0,2,0,0,93
2023,12,24,dom,0,0,1,1,1,0,0,3,0,0,92
2023,12,25,seg,0,0,1,1,1,0,0,4,0,0,91
2023,12,26,ter,0,0,1,1,1,0,0,5,0,0,90
2023,12,27,qua,0,0,1,1,1,0,0,6,0,0,89
2023,12,28,qui,0,0,1,1,1,0,0,7,0,0,88
2023,12,29,sex,0,0,1,1,1,0,0,8,0,0,87
2023,12,30,sáb,0,0,1,1,1,0,0,9,0,0,86
2023,12,31,dom,0,0,1,1,1,0,0,10,0,0,85
2024,1,1,seg,0,0,1,1,1,0,0,11,0,0,84
2024,1,2,ter,0,0,1,1,1,0,0,12,0,0,83
2024,1,3,qua,0,0,1,1,1,0,0,13,0,0,82
2024,1,4,qui,0,0,1,1,1,0,0,14,0,0,81
2024,1,5,sex,0,0,1,1,1,0,0,15,0,0,80
2024,1,6,sáb,0,0,1,1,1,0,0,16,0,0,79
2024,1,7,dom,0,0,1,1,1,0,0,17,0,0,78
2024,1,8,seg,0,0,1,1,1,0,0,18,0,0,77
2024,1,9,ter,0,0,1,1,1,0,0,19,0,0,76
2024,1,10,qua,0,0,1,1,1,0,0,20,0,0,75
2024,1,11,qui,0,0,1,1,1,0,0,21,0,0,74
2024,1,12,sex,0,0,1,1,1,0,0,22,0,0,73
2024,1,13,sáb,0,0,1,1,1,0,0,23,0,0,72
2024,1,14,dom,0,0,1,1,1,0,0,24,0,0,71
2024,1,15,seg,0,0,1,1,1,0,0,25,0,0,70
2024,1,16,ter,0,0,1,1,1,0,0,26,0,0,69
2024,1,17,qua,0,0,1,1,1,0,0,27,0,0,68
2024,1,18,qui,0,0,1,1,1,0,0,28,0,0,67
2024,1,19,sex,0,0,1,1,1,0,0,29,0,0,66
2024,1,20,sáb,0,0,1,1,1,0,0,30,0,0,65
2024,1,21,dom,0,0,1,1,1,0,0,31,0,0,64
2024,1,22,seg,0,0,1,1,1,0,0,32,0,0,63
2024,1,23,ter,0,0,1,1,1,0,0,33,0,0,62
2024,1,24,qua,0,0,1,1,1,0,0,34,0,0,61
2024,1,25,qui,0,0,1,1,1,0,0,35,0,0,60
2024,1,26,sex,0,0,1,1,1,0,0,36,0,0,59
2024,1,27,sáb,0,0,1,1,1,0,0,37,0,0,58
2024,1,28,dom,0,0,1,1,1,0,0,38,0,0,57
2024,1,29,seg,0,0,1,1,1,0,0,39,0,0,56
2024,1,30,ter,0,0,1,1,1,0,0,40,0,0,55
2024,1,31,qua,0,0,1,1,1,0,0,41,0,0,54
2024,2,1,qui,0,0,1,1,1,0,0,42,0,0,53
2024,2,2,sex,0,0,1,1,1,0,0,43,0,0,52
2024,2,3,sáb,0,0,1,1,1,0,0,44,0,0,51
2024,2,4,dom,0,0,1,1,1,0,0,45,0,0,50
2024,2,5,seg,0,0,1,1,1,0,0,46,0,0,49
2024,2,6,ter,0,0,1,1,1,0,0,47,0,0,48
2024,2,7,qua,0,0,1,1,1,0,0,48,0,0,47
2024,2,8,qui,0,0,1,1,1,0,0,49,0,0,46
2024,2,9,sex,0,0,1,1,1,0,0,50,0,0,45
2024,2,10,sáb,0,0,1,1,1,0,0,51,0,0,44
2024,2,11,dom,0,0,1,1,1,0,0,52,0,0,43
2024,2,12,seg,0,0,1,1,1,0,0,53,0,0,42
2024,2,13,ter,0,0,1,1,1,0,0,54,0,0,41
2024,2,14,qua,0,0,1,1,1,0,0,55,0,0,40
2024,2,15,qui,0,0,1,1,1,0,0,56,0,0,39
2024,2,16,sex,0,0,1,1,1,0,0,57,0,0,38
2024,2,17,sáb,0,0,1,1,1,0,0,58,0,0,37
2024,2,18,dom,0,0,1,1,1,0,0,59,0,0,36
2024,2,19,seg,0,0,1,1,1,0,0,60,0,0,35
2024,2,20,ter,0,0,1,1,1,0,0,61,0,0,34
2024,2,21,qua,0,0,1,1,1,0,0,62,0,0,33
